X;Y;Toponyme Voie;Statut Voie;Libellé Voie;Point Origine Voie;Point Extrémité Voie;N° de Délibération;Date de Délibération;Longueur Voie;Observations
986778,64;6245304,99;Beausoleil;Publique;Allée Beausoleil;Rue Beausoleil;Avenue de la Cauquière;;;72 m;
985669,19;6245868,87;Farandole;Privée;Allée de la Farandole;Chemin de l'Argentière;Impasse;96/90;30/05/1996;132 m;
985731,47;6245865,7;Margelle;Privée;Allée de la Margelle;Chemin de l'Argentière;Impasse;96/90;30/05/1996;125 m;
985655,14;6245848,51;Musique;Privée;Allée de la Musique;Allée de La Farandole;Place aux Mômes;96/90;30/05/1996;110 m;
985659,98;6245831,54;Harmonie;Privée;Allée de l'Harmonie;Allée de la Musique;Impasse;96/90;30/05/1996;47 m;
985595,71;6245817,32;Fado;Privée;Allée du Fado;Allée de La Farandole;Impasse;99/90;30/05/1996;32 m;
990435,32;6247318,05;Grand Port;Privée;Allée du Grand Port;Rond Point de Port Cogolin;Impasse (Parcelle BH 3);;;;
990451,87;6247275,72;Petit Port;Privée;Allée du Petit Port;Rue de la Cité des Marins;Impasse (Parcelle BH 12);;;;
988878,3;6245884,26;Cogolin à Saint-Tropez;Rurale;Ancien ch. de Cogolin à Saint-Tropez;Route de La Foux;Avenue des Narcisses;;;1178 m;
986931,62;6245331;Jacques de Cuers;Publique;Avenue  Jacques de Cuers;Rue Marceau;Boulevard Gérad Philippe;;17/09/1990;234 m;
986920,24;6246093,78;André Malraux;Publique;Avenue André Malraux;Rond-Point Saint Maur;Avenue de La Giscle;;;519 m;
986923,16;6246093,63;Claude Sautet;Publique;Avenue Claude Sautet;Rond-Point André Pousse;Rond-Point Saint-Maur;2014/063;16/06/2014;423 m;
986865,2;6245134;Cauquière;Publique;Avenue de la Cauquière;Rue des Mines;Rue Pisan;;03/05/1983;463 m;
987312,52;6245853,44;Giscle;DPC;Avenue de La Giscle;Chemin du Peyron;Avenue Jean Moulin;2011/048;10/05/2011;365 m;
986868,28;6245723,24;Audiguier;Publique;Avenue de l'Audiguier;Rue des Moulins;Avenue Louis Aragon;;30/05/1983;419 m;
987941,66;6245442,6;Valensole;DPC;Avenue de Valensole;Route de La Mole;Parcelle BA 123;94/105;28/10/1994;310 m;
987093,23;6245021,98;Bastides;DPC;Avenue des Bastides;Rue Marceau;Avenue du Colombier;;;284 m;
987293,38;6245514,78;Muriers;Publique;Avenue des Muriers;Avenue André Malraux;Avenue Georges Clémenceau;2003/051;22/05/2003;360 m;
988807,06;6245788,98;Narcisses;DPC;Avenue des Narcisses;Route de La Foux;Impasse;94/50;01/05/1994;830 m;
987042,79;6244913,73;Colombier;Publique;Avenue du Colombier;Rue Pisan;Rue Marceau;;30/05/1983;305 m;
987756,12;6245629,88;Contant;Publique;Avenue du Contant;Impasse parcelle AS 40;Impasse Parcelle AS 32;94/49;22/06/1994;211 m;
987195,1;6245286,13;Subeiran;DPC;Avenue du Subeiran ;Rue Marceau;Rond Point Jean-Pierre de Kock;2003/145;18/12/2003;598 m;
990826,54;6247177,42;Frédéric Mistral;Publique;Avenue Frédéric Mistral;Avenue Jean Aicard;RD 98;;05/01/1959;306 m;
987094,48;6245582,41;Clémenceau;Publique;Avenue Georges Clémenceau;Rue Jean Jaurès;Rond-Point de l'Armée d'Afrique;;;651 m;
990799,81;6247054,37;Jean Aicard;Communale;Avenue Jean Aicard;RD 98 A;Impasse (parcelle BD 72);;;155m;
990801,34;6247061,03;Jean Aicard;Publique;Avenue Jean Aicard;RD 98A;Impasse (Parcelle BD 72);;;145 m;
987620,75;6245441,61;Jean Moulin;Publique;Avenue Jean Moulin;Avenue Georges Clémenceau;Avenue de La Giscle;1994/49;31/05/1994;332 m;
986607,67;6245512,8;Louis Aragon;DPC;Avenue Louis Aragon;Rue des Mines;Chemin de Radasse;;;454 m;
986307,68;6245390,33;Paul Cezanne;Publique;Avenue Paul Cezanne;Rue Jean Giono;Route ds Mines;;;241 m;
986902,62;6246090,29;Saint-Maur;Publique;Avenue Saint-Maur;Rond-Point Saint-Maur;Rond-Point Grand Sud;99/076;17/06/1999;1037 m;
986960,25;6245253,33;Sigismond Coulet;Publique;Avenue Sigismond Coulet;Avenue Clémenceau;Rue Marceau;;05/02/1991;495 m;
986676,21;6245289,1;Gérard Philippe;Publique;Bd Gérard Philippe;Avenue de la Cauquière;Impasse;;;167 m;
991087,21;6247089,5;Marines;Privée;Boulevard des Marines;Rue de la Plage;Quai de la Brigantine;;;;
987186,73;6245288,62;Lattre De Tassigny;Publique;Boulevard du Mal de Lattre de Tassigny;Rue Gambetta;Avenue Sigismond Coulet;;;288 m;
987120,62;6245372,31;Louis Blanc;Publique;Boulevard Louis Blanc;Avenue Clémenceau;Bd du Mal de Lattre de Tassigny;;;186 m;
987043,46;6245610,21;Michelet;Publique;Boulevard Michelet;Avenue du Général de Gaulle;Rue Carnot;;;187 m;
985870,93;6245573,93;Faucon;Rurale;Chemin de Faucon;Chemin de Radasse;Impasse;;24/02/1943;1500 m;Arrêté n° 2012/480
987436,22;6244664,83;Giégi;DPC;Chemin de Giégi;Chemin du Colombier;Piste Jean Morel;2011/130;20/12/2011;912 m;Arrêté n° 2012/481
985456,51;6245848,49;Grenouille;Publique;Chemin de Grenouille;Chemin de l'Argentière;Parcelle AI 148;;;295 m;Arrêté n° 2012/482
987021,4;6243630,07;Gravières;Privée;Chemin de La Gravière;Chemin de la Gravière(rural);Impasse parcelle C520;2011/134;20/12/2011;1092 m;Arrêté n° 2012/484
986662,44;6244143,11;Gravières;Rurale;Chemin de La Gravière;Route de La Mole;Chemin de la Gravière(privé);2011/134;20/12/2011;1266 m;Arrêté n° 2012/484
987908,45;6245437,2;Mort du Luc;Publique;Chemin de la Mort du Luc;Route de La Foux;Commune de Gassin;2011/132;20/12/2011;1843 m;Arrêté n° 2012/485
985204,84;6245633,09;Argentière;Rurale;Chemin de l'Argentière;Rond-Point  Grenouille;Chemin des Mines;;;1078 m;Arrêté n° 2012/486
984667,06;6245571,11;Hermitan;Publique;Chemin de l'Hermitan;RD48;Chemin de Val de Perrier;;;1555 m;Arrêté n° 2015/747
984727,69;6245360,09;Magnan;Rurale;Chemin de Magnan;Chemin des Mines;Commune de La Mole;;24/02/1943;1700 m;Arrêté n° 2012/488
984979,68;6246115,88;Portonfus;Rurale;Chemin de Portonfus;Chemin de l'Hermitan;Parcelle AB1;;04/02/1943;666 m;Arrêté n° 2012/489
985873,37;6245581,38;Radasse;Publique;Chemin de Radasse;Rue du 19 mars;Route des Mines;;;1012 m;Arrêté n° 2014/993
986813,23;6245052,12;Trémouriés;Rurale;Chemin de Trémouriés;Rond-Point de la 1ère division;Route  de La Mole;;24/02/1943;960 m;Arrêté n° 2012/491
982404,06;6245654,63;Val de Perrier;Rurale;Chemin de Val de Perrier;Chemin de l'Hermitan;Commune de La Mole;;24/02/1943;2400 m;Arrêté n° 2012/492
985870,03;6244908,03;Vaubelette;Rurale;Chemin de Vaubelette;Route des Mines;Parcelle AW 49;;24/02/1943;618 m;Arrêté n° 2012/493
986114,8;6243426,27;Bergers;Publique;Chemin des Bergers;Route de La Mole;Route de La Foux;2011/133;20/12/2011;4200 m;Arrêté n° 2014/998
986206,6;6245320,44;Coustelines;Publique;Chemin des Coustelines;Chemin de Vaubelette;Parcelle AW50;2003/030;25/03/2003;441 m;
984727,67;6245360;Crottes et de Saint Marc;Rurale;Chemin des Crottes et de Saint Marc;Chemin des Mines;Commune de La Mole / Parcelle B 789;;;1352 m;
986403,05;6245026,15;Fourches;Rurale;Chemin des Fourches;Rond-Point de la 1ère division;Parcelle AV 11;;24/02/1943;4444 m;Arrêté n° 2016/656
985868,92;6245579,56;Mines;Rurale;Chemin des Mines;Route des Mines;Chemin des Crottes et de Saint-Marc;;;1257 m;Arrêté n° 2012/497
988413,29;6244664,28;Pasquiers;Privée;Chemin des Pasquiers;Parcelle AZ97;Parcelle C 557;2011/136;20/12/2011;736 m;Arrêté n° 2012/498
